CODIGO ICCS;TIPO;PRESUNTO DELITO;TIPO DE ARMA;FECHA;HORA;GENERO;EDAD;NACIONALIDAD;ETNIA;PROVINCIA;CANTON;LATITUD;LONGITUD
1010101;APREHENDIDO;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;ARMAS BLANCAS (OBJETO CORTANTE O PUNZANTE);2023-01-01;17:00:00;HOMBRE;28;ECUATORIANO;MESTIZO/A;PICHINCHA;QUITO;-0.2550549;-78.5536253
1010101;APREHENDIDO;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;2023-01-01;21:10:00;HOMBRE;32;ECUATORIANO;MESTIZO/A;LOJA;CATAMAYO;-3.98757781;-79.36147124
1010101;APREHENDIDO;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;ARMAS BLANCAS (OBJETO CORTANTE O PUNZANTE);2023-01-01;17:00:00;MUJER;42;ECUATORIANO;MESTIZO/A;PICHINCHA;QUITO;-0.2550549;-78.5536253
1010101;APREHENDIDO;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;ARMAS BLANCAS (OBJETO CORTANTE O PUNZANTE);2023-01-01;17:00:00;HOMBRE;39;ECUATORIANO;MESTIZO/A;PICHINCHA;QUITO;-0.2550549;-78.5536253
1010101;APREHENDIDO;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;2023-01-01;21:30:00;HOMBRE;25;ECUATORIANO;MESTIZO/A;LOJA;CATAMAYO;-3.98826848;-79.36081074
1010101;APREHENDIDO;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;2023-01-01;22:00:00;HOMBRE;18;ECUATORIANO;MESTIZO/A;LOJA;CATAMAYO;-3.9868229;-79.3467394
1010101;APREHENDIDO;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;2023-01-03;19:30:00;HOMBRE;27;ECUATORIANO;MESTIZO/A;PICHINCHA;QUITO;-0.318097626;-78.555829525
1010902;DETENIDO;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;2023-01-03;17:00:00;HOMBRE;29;ECUATORIANO;MESTIZO/A;PICHINCHA;QUITO;-0.137281529;-78.356262445
2022102;APREHENDIDO;DELITOS CONTRA LA LIBERTAD PERSONAL;ARMAS DE FUEGO;2023-01-04;15:00:00;HOMBRE;31;ECUATORIANO;MESTIZO/A;GUAYAS;GUAYAQUIL;-2.187169;-79.961232
2022102;APREHENDIDO;DELITOS CONTRA LA LIBERTAD PERSONAL;NINGUNA;2023-01-04;15:00:00;HOMBRE;30;ECUATORIANO;MESTIZO/A;GUAYAS;GUAYAQUIL;-2.187169;-79.961232
